   N	  f1(n)	   iter	  f2(n)	   iter	  f3(n)	   iter	  f4(n)	   iter
   1	      1	      1	      1	      1	      1	      1	      1	      1
   2	      4	      4	      3	      3	      5	      3	      3	      2
   3	      9	      9	      6	      6	     14	      6	      6	      3
   4	     16	     16	     10	     10	     30	     10	     10	      4
   5	     25	     25	     15	     15	     55	     15	     15	      5
   6	     36	     36	     21	     21	     91	     21	     21	      6
   7	     49	     49	     28	     28	    140	     28	     28	      7
   8	     64	     64	     36	     36	    204	     36	     36	      8
   9	     81	     81	     45	     45	    285	     45	     45	      9
  10	    100	    100	     55	     55	    385	     55	     65	     11
  11	    121	    121	     66	     66	    506	     66	     87	     13
  12	    144	    144	     78	     78	    650	     78	    111	     15
  13	    169	    169	     91	     91	    819	     91	    137	     17
  14	    196	    196	    105	    105	   1015	    105	    165	     19
  15	    225	    225	    120	    120	   1240	    120	    195	     21
